Model,Platform,Benchmark Suite,Benchmark,Dataset,Oracle Mapping,Predicted Mapping,Correct?,Speedup
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,blackScholes,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,blockAddition,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,blockAddition,default,0,1,0,0.33886084743969047
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,blockAddition,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,blockAddition,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,blockAddition,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,blockAddition,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,blockAddition,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,blockAddition,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,fastWalshTransform,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,fastWalshTransform,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,fastWalshTransform,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,fastWalshTransform,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,fastWalshTransform,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,fastWalshTransform,default,1,0,0,0.4770966823842527
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,fastWalshTransform,default,1,0,0,0.4770966823842527
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,fastWalshTransform,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,floydWarshallPass,default,0,1,0,0.3682301511519899
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,floydWarshallPass,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,floydWarshallPass,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,floydWarshallPass,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,floydWarshallPass,default,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,floydWarshallPass,default,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,floydWarshallPass,default,0,1,0,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,floydWarshallPass,default,0,1,0,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,group_prefixSum,default,0,1,0,0.5710926185388038
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,group_prefixSum,default,0,1,0,0.5710926185388038
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,group_prefixSum,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,group_prefixSum,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,group_prefixSum,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,group_prefixSum,default,1,0,0,0.10196723071903255
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,group_prefixSum,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,group_prefixSum,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,matrixTranspose,default,0,1,0,0.15516201280015532
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,matrixTranspose,default,0,1,0,0.15516201280015532
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,matrixTranspose,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,matrixTranspose,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,matrixTranspose,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,matrixTranspose,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,matrixTranspose,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,matrixTranspose,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,mmmKernel,default,0,1,0,0.24786721564958417
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,mmmKernel,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,mmmKernel,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,mmmKernel,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,mmmKernel,default,1,0,0,0.44737505582688625
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,mmmKernel,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,mmmKernel,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,mmmKernel,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,prefixSum,default,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,prefixSum,default,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,prefixSum,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,prefixSum,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,prefixSum,default,1,0,0,0.18141080239098242
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,prefixSum,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,prefixSum,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,prefixSum,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,reduce,default,0,1,0,0.18144950007718857
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,reduce,default,0,1,0,0.18144950007718857
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,reduce,default,0,0,1,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,reduce,default,0,0,1,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,reduce,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,reduce,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,reduce,default,1,0,0,0.440378823164105
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,reduce,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,simpleNonSeparableConvolution,default,1,1,1,1.2870443043726147
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,simpleNonSeparableConvolution,default,1,1,1,1.2870443043726147
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,simpleNonSeparableConvolution,default,1,1,1,1.2870443043726147
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,simpleNonSeparableConvolution,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,simpleNonSeparableConvolution,default,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,simpleNonSeparableConvolution,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,simpleNonSeparableConvolution,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,simpleNonSeparableConvolution,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,simpleSeparableConvolutionPass1,default,1,1,1,1.129626835602738
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,simpleSeparableConvolutionPass1,default,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,simpleSeparableConvolutionPass1,default,1,1,1,1.129626835602738
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,simpleSeparableConvolutionPass1,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,simpleSeparableConvolutionPass1,default,1,0,0,0.7022527377516256
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,simpleSeparableConvolutionPass1,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,simpleSeparableConvolutionPass1,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,simpleSeparableConvolutionPass1,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,simpleSeparableConvolutionPass2,default,1,0,0,1.0
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,simpleSeparableConvolutionPass2,default,1,1,1,1.0775704057595088
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,simpleSeparableConvolutionPass2,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,simpleSeparableConvolutionPass2,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,simpleSeparableConvolutionPass2,default,1,0,0,0.6958020347351115
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,simpleSeparableConvolutionPass2,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,simpleSeparableConvolutionPass2,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,simpleSeparableConvolutionPass2,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,amd-app-sdk-3.0,sobel_filter,default,1,1,1,1.3314288253868776
DeepTuneInst2Vec,amd_tahiti_7970,amd-app-sdk-3.0,sobel_filter,default,1,1,1,1.3314288253868776
Grewe et al.,amd_tahiti_7970,amd-app-sdk-3.0,sobel_filter,default,1,0,0,1.0
Static mapping,amd_tahiti_7970,amd-app-sdk-3.0,sobel_filter,default,1,0,0,1.0
DeepTune,nvidia_gtx_960,amd-app-sdk-3.0,sobel_filter,default,1,0,0,0.44704450985861144
DeepTuneInst2Vec,nvidia_gtx_960,amd-app-sdk-3.0,sobel_filter,default,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,amd-app-sdk-3.0,sobel_filter,default,1,1,1,1.0
Static mapping,nvidia_gtx_960,amd-app-sdk-3.0,sobel_filter,default,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,add,A,1,1,1,1.2202378775440328
DeepTune,amd_tahiti_7970,npb-3.3,add,A,1,1,1,1.443819802059247
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,add,A,1,1,1,1.2202378775440328
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,add,A,1,1,1,1.443819802059247
Grewe et al.,amd_tahiti_7970,npb-3.3,add,A,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,add,A,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,add,A,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,add,A,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,add,A,1,1,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,add,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,add,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,add,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,add,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,add,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,add,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,add,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,add,B,1,1,1,3.608726937654052
DeepTune,amd_tahiti_7970,npb-3.3,add,B,1,1,1,3.4484134771665302
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,add,B,1,1,1,3.608726937654052
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,add,B,1,1,1,3.4484134771665302
Grewe et al.,amd_tahiti_7970,npb-3.3,add,B,1,0,0,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,add,B,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,add,B,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,add,B,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,add,B,1,1,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,add,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,add,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,add,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,add,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,add,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,add,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,add,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,add,C,1,1,1,3.6131916865888147
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,add,C,1,1,1,3.6131916865888147
Grewe et al.,amd_tahiti_7970,npb-3.3,add,C,1,1,1,3.6131916865888147
Static mapping,amd_tahiti_7970,npb-3.3,add,C,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,add,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,add,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,add,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,add,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,add,S,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,add,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,add,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,add,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,add,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,add,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,add,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,add,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,add,S,1,1,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,add,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,add,S,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,add,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,add,S,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,add,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,add,S,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,add,S,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,add,W,0,0,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,add,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,add,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,add,W,0,1,0,0.3114999701418088
Grewe et al.,amd_tahiti_7970,npb-3.3,add,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,add,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,add,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,add,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,add,W,1,1,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,add,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,add,W,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,add,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,add,W,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,add,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,add,W,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,add,W,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,blts,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,blts,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,blts,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,blts,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,blts,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,blts,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,blts,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,blts,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,blts,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,blts,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,blts,B,0,1,0,0.2334634380504865
Static mapping,amd_tahiti_7970,npb-3.3,blts,B,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,blts,B,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,blts,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,blts,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,blts,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,blts,C,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,blts,C,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,blts,C,0,1,0,0.36739025976305717
Static mapping,amd_tahiti_7970,npb-3.3,blts,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,blts,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,blts,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,blts,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,blts,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,blts,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,blts,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,blts,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,blts,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,blts,S,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,blts,S,0,0,1,1.5999507701629319
Grewe et al.,nvidia_gtx_960,npb-3.3,blts,S,0,0,1,1.5999507701629319
Static mapping,nvidia_gtx_960,npb-3.3,blts,S,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,blts,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,blts,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,blts,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,blts,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,blts,W,0,1,0,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,blts,W,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,blts,W,0,0,1,1.2483844796173993
Static mapping,nvidia_gtx_960,npb-3.3,blts,W,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,buts,A,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,buts,A,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,buts,A,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,buts,A,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,buts,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,buts,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,buts,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,buts,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,buts,B,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,buts,B,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,buts,B,0,1,0,0.23460880116289928
Static mapping,amd_tahiti_7970,npb-3.3,buts,B,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,buts,B,1,0,0,0.684629549722565
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,buts,B,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,buts,B,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,buts,B,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,buts,C,0,1,0,0.37841421734014974
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,buts,C,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,buts,C,0,1,0,0.37841421734014974
Static mapping,amd_tahiti_7970,npb-3.3,buts,C,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,buts,C,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,buts,C,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,buts,C,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,buts,C,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,buts,S,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,buts,S,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,buts,S,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,buts,S,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,buts,S,0,0,1,1.6151048738570222
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,buts,S,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,buts,S,0,0,1,1.6151048738570222
Static mapping,nvidia_gtx_960,npb-3.3,buts,S,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,buts,W,0,0,1,1.0
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,buts,W,0,0,1,1.0
Grewe et al.,amd_tahiti_7970,npb-3.3,buts,W,0,0,1,1.0
Static mapping,amd_tahiti_7970,npb-3.3,buts,W,0,0,1,1.0
DeepTune,nvidia_gtx_960,npb-3.3,buts,W,0,0,1,1.2588602009735548
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,buts,W,0,1,0,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,buts,W,0,0,1,1.2588602009735548
Static mapping,nvidia_gtx_960,npb-3.3,buts,W,0,1,0,1.0
DeepTune,amd_tahiti_7970,npb-3.3,cffts1,A,1,1,1,20.69416309599121
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,cffts1,A,1,1,1,20.69416309599121
Grewe et al.,amd_tahiti_7970,npb-3.3,cffts1,A,1,0,0,1.0
Static mapping,amd_tahiti_7970,npb-3.3,cffts1,A,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,cffts1,A,1,1,1,1.0
DeepTuneInst2Vec,nvidia_gtx_960,npb-3.3,cffts1,A,1,1,1,1.0
Grewe et al.,nvidia_gtx_960,npb-3.3,cffts1,A,1,1,1,1.0
Static mapping,nvidia_gtx_960,npb-3.3,cffts1,A,1,1,1,1.0
DeepTune,amd_tahiti_7970,npb-3.3,cffts1,B,1,1,1,17.278092635837222
DeepTuneInst2Vec,amd_tahiti_7970,npb-3.3,cffts1,B,1,1,1,17.278092635837222
Grewe et al.,amd_tahiti_7970,npb-3.3,cffts1,B,1,1,1,17.278092635837222
Static mapping,amd_tahiti_7970,npb-3.3,cffts1,B,1,0,0,1.0
DeepTune,nvidia_gtx_960,npb-3.3,cffts1,B,1,0,0,0.04682589717005132
