,benchmark,dataset,comp,rational,mem,localmem,coalesced,atomic,transfer,wgsize,oracle,runtime_cpu,runtime_gpu,src,seq
10,amd-app-sdk-3.0-ScanLargeArrays-blockAddition,default,0,1,4,2,2,0,263168,256,GPU,0.147294,0.022841999999999998,"__kernel void A(__global float* a, __global float* b) {
  int c = get_global_id(0);
  int d = get_group_id(0);
  int e = get_local_id(0);

  __local float f[1];

  if (e == 0) {
    f[0] = a[d];
  }
  barrier(1);

  b[c] += f[0];
}","[129 129 129 ...,  26   0 127]"
11,amd-app-sdk-3.0-ScanLargeArrays-prefixSum,default,31,3,19,13,3,0,263168,64,GPU,0.130323,0.023642,"__kernel void A(__global float* a, __global float* b, __local float* c, const uint d) {
  int e = get_local_id(0);
  int f = get_global_id(0);
  int g = get_group_id(0);

  c[2 * e] = b[2 * f];
  c[2 * e + 1] = b[2 * f + 1];
  barrier(1);

  float h = c[0];
  float i = h + c[1];

  for (int j = 1; j < d; j *= 2) {
    if (2 * e >= j) {
      h = c[2 * e - j] + c[2 * e];
      i = c[2 * e + 1 - j] + c[2 * e + 1];
    }
    barrier(1);

    c[2 * e] = h;
    c[2 * e + 1] = i;

    barrier(1);
  }

  if (e == 0) {
    a[2 * f] = 0;
    a[2 * f + 1] = c[2 * e];
  } else {
    a[2 * f] = c[2 * e - 1];
    a[2 * f + 1] = c[2 * e];
  }
}","[129 129 129 ..., 127   0 127]"
12,amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution,default,9,4,3,0,3,0,4206668,256,GPU,3.979828,2.312966,"__kernel void A(__global uint* a, __global float* b, __global int* c, const uint2 d, const uint2 e, const uint f) {
  uint g = get_global_id(0);

  uint h = d.x;
  uint i = d.y;

  uint j = g % h;
  uint k = g / h;

  uint l = e.x;
  uint m = e.y;

  if (j >= h || k >= i)
    return;

  float n = 0.0f;
  int o = 0, p = 0;

  for (uint q = k; q < (k + m); ++q, o++) {
    p = 0;
    for (uint r = j; r < (j + l); ++r, p++) {
      uint s = o * l + p;
      uint t = q * f + r;

      n += ((float)a[t] * b[s]);
    }
  }

  n += 0.5f;
  c[g] = (int)n;
}","[129 129 129 ...,  26   0 127]"
13,amd-app-sdk-3.0-SimpleConvolution-simpleSeparableConvolutionPass1,default,9,3,3,0,1,0,4206668,256,GPU,3.226918,2.2661119999999997,"__kernel void A(__global uint* a, __global float* b, __global float* c, const uint2 d, const uint e, const uint2 f) {
  int g = 0, h = 0;

  uint i = d.x;
  uint j = d.y;

  uint k = get_global_id(0);
  uint l = k % i;
  uint m = k / i;

  if (l >= i || m >= (j + e - 1))
    return;

  float n = 0.0f;

  for (uint g = l; g < (l + e); ++g) {
    n = mad((float)a[m * f.x + g], b[h++], n);
  }

  c[l * f.y + m] = n;
}","[129 129 129 ...,  26   0 127]"
14,amd-app-sdk-3.0-SimpleConvolution-simpleSeparableConvolutionPass2,default,7,3,3,0,1,0,4206668,256,GPU,3.256935,2.266182,"__kernel void A(__global float* a, __global float* b, __global int* c, const uint2 d, const uint e, const uint2 f) {
  int g = 0, h = 0;

  uint i = d.x;
  uint j = d.y;

  uint k = get_global_id(0);
  uint l = k % j;
  uint m = k / j;

  if (m >= i || l >= j)
    return;

  float n = 0.0f;

  for (uint g = l; g < (l + e); ++g) {
    n = mad(a[m * f.y + g], b[h++], n);
  }

  n += 0.5f;
  c[l * i + m] = (int)n;
}","[129 129 129 ...,  26   0 127]"
15,amd-app-sdk-3.0-SobelFilter-sobel_filter,default,31,4,10,0,4,0,2097152,256,GPU,3.535082,1.580339,"__kernel void A(__global uchar4* a, __global uchar4* b) {
  uint c = get_global_id(0);
  uint d = get_global_id(1);

  uint e = get_global_size(0);
  uint f = get_global_size(1);

  float4 g = (float4)(0);
  float4 h = g;

  int i = c + d * e;

  if (c >= 1 && c < (e - 1) && d >= 1 && d < f - 1) {
    float4 j = convert_float4(a[i - 1 - e]);
    float4 k = convert_float4(a[i - e]);
    float4 l = convert_float4(a[i + 1 - e]);
    float4 m = convert_float4(a[i - 1]);
    float4 n = convert_float4(a[i]);
    float4 o = convert_float4(a[i + 1]);
    float4 p = convert_float4(a[i - 1 + e]);
    float4 q = convert_float4(a[i + e]);
    float4 r = convert_float4(a[i + 1 + e]);

    g = j + (float4)(2) * k + l - p - (float4)(2) * q - r;

    h = j - l + (float4)(2) * m - (float4)(2) * o + p - r;

    b[i] = convert_uchar4(hypot(g, h) / (float4)(2));
  }
}
","[129 129 129 ...,   0 127   0]"
16,npb-3.3-BT-add,A,28,4,2,0,3,0,320454824,62,GPU,1.8807369999999999,0.485853,"__kernel void A(__global double* a, __global double* b, int c, int d, int e) {
  int f, g, h, i;

  h = get_global_id(2) + 1;
  g = get_global_id(1) + 1;
  f = get_global_id(0) + 1;
  if (h > (e - 2) || g > (d - 2) || f > (c - 2))
    return;

  __global double(*j)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*k)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])b;

  for (i = 0; i < 5; i++) {
    j[h][g][f][i] = j[h][g][f][i] + k[h][g][f][i];
  }
}","[129 129 129 ..., 127   0 127]"
17,npb-3.3-BT-add,B,28,4,2,0,3,0,1313673512,32,GPU,7.0964279999999995,0.92984,"__kernel void A(__global double* a, __global double* b, int c, int d, int e) {
  int f, g, h, i;

  h = get_global_id(2) + 1;
  g = get_global_id(1) + 1;
  f = get_global_id(0) + 1;
  if (h > (e - 2) || g > (d - 2) || f > (c - 2))
    return;

  __global double(*j)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*k)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])b;

  for (i = 0; i < 5; i++) {
    j[h][g][f][i] = j[h][g][f][i] + k[h][g][f][i];
  }
}","[129 129 129 ..., 127   0 127]"
18,npb-3.3-BT-add,S,28,4,2,0,3,0,1807992,60,GPU,0.079557,0.075764,"__kernel void A(__global double* a, __global double* b, int c, int d, int e) {
  int f, g, h, i;

  h = get_global_id(2) + 1;
  g = get_global_id(1) + 1;
  f = get_global_id(0) + 1;
  if (h > (e - 2) || g > (d - 2) || f > (c - 2))
    return;

  __global double(*j)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*k)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])b;

  for (i = 0; i < 5; i++) {
    j[h][g][f][i] = j[h][g][f][i] + k[h][g][f][i];
  }
}","[129 129 129 ..., 127   0 127]"
19,npb-3.3-BT-add,W,28,4,2,0,3,0,15949464,44,GPU,0.145375,0.088408,"__kernel void A(__global double* a, __global double* b, int c, int d, int e) {
  int f, g, h, i;

  h = get_global_id(2) + 1;
  g = get_global_id(1) + 1;
  f = get_global_id(0) + 1;
  if (h > (e - 2) || g > (d - 2) || f > (c - 2))
    return;

  __global double(*j)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*k)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])b;

  for (i = 0; i < 5; i++) {
    j[h][g][f][i] = j[h][g][f][i] + k[h][g][f][i];
  }
}","[129 129 129 ..., 127   0 127]"
20,npb-3.3-BT-compute_rhs1,A,127,3,8,0,12,0,320454824,64,GPU,2.088552,0.259261,"__kernel void A(__global const double* a, __global double* b, __global double* c, __global double* d, __global double* e, __global double* f, __global double* g, int h, int i, int j) {
  int k, l, m;
  double n;
  double o[4];
  double p;

  m = get_global_id(2);
  l = get_global_id(1);
  k = get_global_id(0);
  if (m >= j || l >= i || k >= h)
    return;

  __global double(*q)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*r)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])b;
  __global double(*s)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])c;
  __global double(*t)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])d;
  __global double(*u)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])e;
  __global double(*v)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])f;
  __global double(*w)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])g;

  o[0] = q[m][l][k][0];
  o[1] = q[m][l][k][1];
  o[2] = q[m][l][k][2];
  o[3] = q[m][l][k][3];

  n = 1.0 / o[0];
  v[m][l][k] = n;
  r[m][l][k] = o[1] * n;
  s[m][l][k] = o[2] * n;
  t[m][l][k] = o[3] * n;
  p = 0.5 * (o[1] * o[1] + o[2] * o[2] + o[3] * o[3]) * n;
  w[m][l][k] = p;
  u[m][l][k] = p * n;
}
","[  1  93   1 ...,   0 127   0]"
21,npb-3.3-BT-compute_rhs1,B,127,3,8,0,12,0,1313673512,32,GPU,9.072222,0.723952,"__kernel void A(__global const double* a, __global double* b, __global double* c, __global double* d, __global double* e, __global double* f, __global double* g, int h, int i, int j) {
  int k, l, m;
  double n;
  double o[4];
  double p;

  m = get_global_id(2);
  l = get_global_id(1);
  k = get_global_id(0);
  if (m >= j || l >= i || k >= h)
    return;

  __global double(*q)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*r)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])b;
  __global double(*s)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])c;
  __global double(*t)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])d;
  __global double(*u)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])e;
  __global double(*v)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])f;
  __global double(*w)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])g;

  o[0] = q[m][l][k][0];
  o[1] = q[m][l][k][1];
  o[2] = q[m][l][k][2];
  o[3] = q[m][l][k][3];

  n = 1.0 / o[0];
  v[m][l][k] = n;
  r[m][l][k] = o[1] * n;
  s[m][l][k] = o[2] * n;
  t[m][l][k] = o[3] * n;
  p = 0.5 * (o[1] * o[1] + o[2] * o[2] + o[3] * o[3]) * n;
  w[m][l][k] = p;
  u[m][l][k] = p * n;
}
","[  1  93   1 ...,   0 127   0]"
22,npb-3.3-BT-compute_rhs1,S,127,3,8,0,12,0,1807992,60,GPU,0.08259,0.075816,"__kernel void A(__global const double* a, __global double* b, __global double* c, __global double* d, __global double* e, __global double* f, __global double* g, int h, int i, int j) {
  int k, l, m;
  double n;
  double o[4];
  double p;

  m = get_global_id(2);
  l = get_global_id(1);
  k = get_global_id(0);
  if (m >= j || l >= i || k >= h)
    return;

  __global double(*q)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*r)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])b;
  __global double(*s)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])c;
  __global double(*t)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])d;
  __global double(*u)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])e;
  __global double(*v)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])f;
  __global double(*w)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])g;

  o[0] = q[m][l][k][0];
  o[1] = q[m][l][k][1];
  o[2] = q[m][l][k][2];
  o[3] = q[m][l][k][3];

  n = 1.0 / o[0];
  v[m][l][k] = n;
  r[m][l][k] = o[1] * n;
  s[m][l][k] = o[2] * n;
  t[m][l][k] = o[3] * n;
  p = 0.5 * (o[1] * o[1] + o[2] * o[2] + o[3] * o[3]) * n;
  w[m][l][k] = p;
  u[m][l][k] = p * n;
}
","[  1  93   1 ...,   0 127   0]"
23,npb-3.3-BT-compute_rhs1,W,127,3,8,0,12,0,15949464,48,GPU,0.175005,0.081839,"__kernel void A(__global const double* a, __global double* b, __global double* c, __global double* d, __global double* e, __global double* f, __global double* g, int h, int i, int j) {
  int k, l, m;
  double n;
  double o[4];
  double p;

  m = get_global_id(2);
  l = get_global_id(1);
  k = get_global_id(0);
  if (m >= j || l >= i || k >= h)
    return;

  __global double(*q)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*r)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])b;
  __global double(*s)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])c;
  __global double(*t)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])d;
  __global double(*u)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])e;
  __global double(*v)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])f;
  __global double(*w)[12 / 2 * 2 + 1][12 / 2 * 2 + 1] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1])g;

  o[0] = q[m][l][k][0];
  o[1] = q[m][l][k][1];
  o[2] = q[m][l][k][2];
  o[3] = q[m][l][k][3];

  n = 1.0 / o[0];
  v[m][l][k] = n;
  r[m][l][k] = o[1] * n;
  s[m][l][k] = o[2] * n;
  t[m][l][k] = o[3] * n;
  p = 0.5 * (o[1] * o[1] + o[2] * o[2] + o[3] * o[3]) * n;
  w[m][l][k] = p;
  u[m][l][k] = p * n;
}
","[  1  93   1 ...,   0 127   0]"
24,npb-3.3-BT-compute_rhs2,A,27,4,2,0,2,0,320454824,64,GPU,2.059176,0.440564,"__kernel void A(__global const double* a, __global double* b, int c, int d, int e) {
  int f, g, h, i;

  h = get_global_id(2);
  g = get_global_id(1);
  f = get_global_id(0);
  if (h >= e || g >= d || f >= c)
    return;

  __global double(*j)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*k)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])b;

  for (i = 0; i < 5; i++) {
    k[h][g][f][i] = j[h][g][f][i];
  }
}","[129 129 129 ..., 127   0 127]"
25,npb-3.3-BT-compute_rhs2,B,27,4,2,0,2,0,1313673512,32,GPU,7.506122,0.7440140000000001,"__kernel void A(__global const double* a, __global double* b, int c, int d, int e) {
  int f, g, h, i;

  h = get_global_id(2);
  g = get_global_id(1);
  f = get_global_id(0);
  if (h >= e || g >= d || f >= c)
    return;

  __global double(*j)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])a;
  __global double(*k)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5] = (__global double(*)[12 / 2 * 2 + 1][12 / 2 * 2 + 1][5])b;

  for (i = 0; i < 5; i++) {
    k[h][g][f][i] = j[h][g][f][i];
  }
}","[129 129 129 ..., 127   0 127]"
