relpath,openmp_line_num,label_is_parallelizable,label_is_icc_parallelized,label_is_omp_parallelized,dynamic_loop_abs_time,dynamic_loop_abs_time_self,dynamic_loop_app_frac_time,dynamic_loop_app_frac_time_self,dynamic_loop_avg_iter_num,dynamic_loop_entries_num,dynamic_loop_exits_num,dynamic_loop_max_iter_num,dynamic_loop_min_iter_num,static_critical_payload_anti_dependencies_number,static_critical_payload_branch_count,static_critical_payload_branch_fraction,static_critical_payload_call_count,static_critical_payload_call_fraction,static_critical_payload_cntl_dependencies_number,static_critical_payload_conf_dependencies_number,static_critical_payload_cross_dependencies_number,static_critical_payload_getelemptr_count,static_critical_payload_getelemptr_fraction,static_critical_payload_mem_cohesion,static_critical_payload_mem_dependencies_number,static_critical_payload_mem_read_count,static_critical_payload_mem_read_fraction,static_critical_payload_mem_write_count,static_critical_payload_mem_write_fraction,static_critical_payload_non_cf_cohesion,static_critical_payload_output_dependencies_number,static_critical_payload_reg_dependencies_number,static_critical_payload_total_cohesion,static_critical_payload_total_dependencies_number,static_critical_payload_true_dependencies_number,static_iterator_anti_dependencies_number,static_iterator_branch_count,static_iterator_branch_fraction,static_iterator_call_count,static_iterator_call_fraction,static_iterator_cntl_dependencies_number,static_iterator_conf_dependencies_number,static_iterator_cross_dependencies_number,static_iterator_getelemptr_count,static_iterator_getelemptr_fraction,static_iterator_mem_dependencies_number,static_iterator_mem_read_count,static_iterator_mem_read_fraction,static_iterator_mem_write_count,static_iterator_mem_write_fraction,static_iterator_output_dependencies_number,static_iterator_payload_mem_cohesion,static_iterator_payload_non_cf_cohesion,static_iterator_payload_total_cohesion,static_iterator_reg_dependencies_number,static_iterator_total_dependencies_number,static_iterator_true_dependencies_number,static_loop_absolute_size,static_loop_critical_payload_fraction,static_loop_depth,static_loop_inner_loop_num,static_loop_iterator_size,static_loop_payload_fraction,static_loop_proper_sccs_ddg_number,static_loop_proper_sccs_ddg_number_diff,static_loop_proper_sccs_mdg_number,static_loop_proper_sccs_number,static_loop_proper_sccs_number_diff,static_payload_anti_dependencies_number,static_payload_branch_count,static_payload_branch_fraction,static_payload_call_count,static_payload_call_fraction,static_payload_cntl_dependencies_number,static_payload_conf_dependencies_number,static_payload_cross_dependencies_number,static_payload_getelemptr_count,static_payload_getelemptr_fraction,static_payload_mem_dependencies_number,static_payload_mem_read_count,static_payload_mem_read_fraction,static_payload_mem_write_count,static_payload_mem_write_fraction,static_payload_output_dependencies_number,static_payload_reg_dependencies_number,static_payload_total_dependencies_number,static_payload_true_dependencies_number
BT/src/bt.c,225,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.047619999999999996,0.1746,4,8,4,65,0.0,1,0,4,0.9385,1,1,0,0,0,0,10,0.1639,5,0.08197,45,0,0,12,0.1967,0,17,0.2787,5,0.08197,0,51,96,51
BT/src/error.c,48,1,1,0,272,272,0.0,0.0,5,1,1,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0625,0.375,4,8,4,9,0.0,1,0,4,0.5556,1,1,0,0,0,0,2,0.4,0,0.0,0,0,0,1,0.2,0,0,0.0,1,0.2,0,2,2,2
BT/src/error.c,55,1,1,0,103,103,0.0,0.0,5,1,1,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0625,0.375,4,8,4,9,0.0,1,0,4,0.5556,1,1,0,0,0,0,2,0.4,0,0.0,0,0,0,1,0.2,0,0,0.0,1,0.2,0,2,2,2
BT/src/error.c,59,0,0,1,67117314,1544,0.0,0.0,102,1,1,102,102,0,3,0.1667,0,0.0,2,0,0,0,0.0,0.0,2,3,0.1579,1,0.052629999999999996,0.09322000000000001,1,18,0.3814,36,19,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.01399,0.09091,6,12,6,65,0.322,1,3,6,0.9077,4,1,0,4,1,0,14,0.2373,1,0.01695,61,0,0,8,0.1356,2,9,0.1525,2,0.0339,1,55,118,56
BT/src/error.c,61,0,0,0,67115770,72851,0.0,0.0,102,102,102,102,102,0,2,0.1667,0,0.0,2,0,0,0,0.0,0.0,2,2,0.1538,1,0.07692,0.1,1,12,0.4111,24,13,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.01739,0.113,6,12,6,53,0.2766,2,2,6,0.8868,3,1,0,3,1,0,10,0.2128,1,0.02128,44,0,0,8,0.1702,2,7,0.1489,2,0.04255,1,44,90,45
BT/src/error.c,63,0,0,0,67042919,7960058,0.0,0.0,102,10404,10404,102,102,0,1,0.1667,0,0.0,2,0,0,0,0.0,0.0,2,1,0.1429,1,0.1429,0.1129,1,6,0.4355,12,7,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.02299,0.1494,6,12,6,41,0.2,3,1,6,0.8537,2,1,0,2,1,0,6,0.1714,1,0.028569999999999998,27,0,0,8,0.2286,2,5,0.1429,2,0.057139999999999996,1,33,62,34
BT/src/error.c,67,1,1,0,16108508,16108508,0.0,0.0,5,1061208,1061208,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.07017999999999999,0.4737,4,8,4,27,0.0,4,0,4,0.8519,1,1,0,0,0,0,2,0.08696,0,0.0,0,0,0,7,0.3043,1,3,0.1304,1,0.04348,1,21,22,21
BT/src/error.c,74,1,1,0,167,167,0.0,0.0,5,1,1,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.07143,0.4286,4,8,4,14,0.0,1,0,4,0.7143,1,1,0,0,0,0,2,0.2,0,0.0,0,0,0,2,0.2,0,2,0.2,1,0.1,0,8,8,8
BT/src/error.c,80,1,1,0,35075,34899,0.0,0.0,5,1,1,5,5,0,1,0.25,0,0.0,2,1,0,0,0.0,0.04545,2,1,0.1111,1,0.1111,0.1364,1,8,0.3409,14,8,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.05797000000000001,0.2464,4,8,4,32,0.3214,1,1,4,0.875,2,1,0,2,1,0,6,0.2143,1,0.035710000000000006,18,2,0,5,0.1786,4,4,0.1429,3,0.1071,2,22,44,22
BT/src/error.c,81,1,1,0,176,176,0.0,0.0,3,5,5,3,3,0,0,0.25,0,0.0,3,1,0,0,0.0,0.0,3,2,0.3333,1,0.1667,0.2143,1,5,0.2143,8,6,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.027030000000000002,0.4054,4,8,4,18,0.4286,2,0,4,0.7778,1,1,0,1,1,0,2,0.1429,0,0.0,0,1,0,3,0.2143,3,2,0.1429,1,0.07143,1,11,14,12
BT/src/error.c,95,1,1,0,272,272,0.0,0.0,5,1,1,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0625,0.375,4,8,4,9,0.0,1,0,4,0.5556,1,1,0,0,0,0,2,0.4,0,0.0,0,0,0,1,0.2,0,0,0.0,1,0.2,0,2,2,2
BT/src/error.c,102,1,1,0,87,87,0.0,0.0,5,1,1,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0625,0.375,4,8,4,9,0.0,1,0,4,0.5556,1,1,0,0,0,0,2,0.4,0,0.0,0,0,0,1,0.2,0,0,0.0,1,0.2,0,2,2,2
BT/src/error.c,106,1,0,1,12379402,664,0.0,0.0,100,1,1,100,100,0,3,0.1667,0,0.0,2,0,0,0,0.0,0.0,2,3,0.1579,1,0.052629999999999996,0.08989,1,18,0.3371,36,19,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.009091,0.08182,6,12,6,50,0.4318,1,3,6,0.88,4,1,0,4,1,0,14,0.3182,0,0.0,49,0,0,6,0.1364,2,4,0.09091,1,0.02273,1,38,89,39
BT/src/error.c,107,1,0,0,12378738,42953,0.0,0.0,100,100,100,100,100,0,2,0.1667,0,0.0,2,0,0,0,0.0,0.0,2,2,0.1538,1,0.07692,0.1029,1,12,0.3824,24,13,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.01124,0.1011,6,12,6,41,0.3714,2,2,6,0.8537,3,1,0,3,1,0,10,0.2857,0,0.0,35,0,0,6,0.1714,2,3,0.08571000000000001,1,0.028569999999999998,1,31,68,32
BT/src/error.c,108,1,0,0,12335785,2797760,0.0,0.0,100,10000,10000,100,100,0,1,0.1667,0,0.0,2,0,0,0,0.0,0.0,2,1,0.1429,1,0.1429,0.1224,1,6,0.449,12,7,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.014709999999999999,0.1029,6,12,6,32,0.2692,3,1,6,0.8125,2,1,0,2,1,0,6,0.2308,0,0.0,23,0,0,6,0.2308,2,2,0.07692,1,0.03846,1,24,49,25
BT/src/error.c,109,1,1,0,9538025,9538025,0.0,0.0,5,1000000,1000000,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0625,0.4583,4,8,4,23,0.0,4,0,4,0.8261,1,1,0,0,0,0,2,0.1053,0,0.0,0,0,0,6,0.3158,1,2,0.1053,1,0.052629999999999996,1,17,18,17
BT/src/error.c,116,1,1,0,222,222,0.0,0.0,5,1,1,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.07143,0.4286,4,8,4,14,0.0,1,0,4,0.7143,1,1,0,0,0,0,2,0.2,0,0.0,0,0,0,2,0.2,0,2,0.2,1,0.1,0,8,8,8
BT/src/error.c,122,1,1,0,1296,994,0.0,0.0,5,1,1,5,5,0,1,0.25,0,0.0,2,1,0,0,0.0,0.04545,2,1,0.1111,1,0.1111,0.1364,1,8,0.3409,14,8,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.05797000000000001,0.2464,4,8,4,32,0.3214,1,1,4,0.875,2,1,0,2,1,0,6,0.2143,1,0.035710000000000006,18,2,0,5,0.1786,4,4,0.1429,3,0.1071,2,22,44,22
BT/src/error.c,123,1,1,0,302,302,0.0,0.0,3,5,5,3,3,0,0,0.25,0,0.0,3,1,0,0,0.0,0.0,3,2,0.3333,1,0.1667,0.2143,1,5,0.2143,8,6,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.027030000000000002,0.4054,4,8,4,18,0.4286,2,0,4,0.7778,1,1,0,1,1,0,2,0.1429,0,0.0,0,1,0,3,0.2143,3,2,0.1429,1,0.07143,1,11,14,12
BT/src/exact_rhs.c,52,1,1,1,45010752,6719,0.0,0.0,102,1,1,102,102,0,3,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,2,0.125,0,0.0,0.04348,0,16,0.2899,32,16,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.01111,0.1,6,12,6,42,0.4444,1,3,6,0.8571,4,1,0,3,0,0,14,0.3889,0,0.0,41,0,0,4,0.1111,1,2,0.055560000000000005,1,0.027780000000000003,1,27,69,27
BT/src/exact_rhs.c,53,1,1,0,45004033,42221,0.0,0.0,102,102,102,102,102,0,2,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,1,0.1,0,0.0,0.04167,0,10,0.3333,20,10,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.014490000000000001,0.1304,6,12,6,33,0.3704,2,2,6,0.8182,3,1,0,2,0,0,10,0.3704,0,0.0,27,0,0,4,0.1481,1,1,0.03704,1,0.03704,1,20,48,20
BT/src/exact_rhs.c,54,1,1,0,44961812,4671053,0.0,0.0,102,10404,10404,102,102,0,1,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.034480000000000004,0,4,0.4138,8,4,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.02083,0.1458,6,12,6,24,0.2222,3,1,6,0.75,2,1,0,1,0,0,6,0.3333,0,0.0,15,0,0,4,0.2222,1,0,0.0,1,0.055560000000000005,1,13,29,13
BT/src/exact_rhs.c,66,0,0,1,154358653,2741,0.0,0.0,100,1,1,100,100,0,9,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,4,0.09091,0,0.0,0.05367,0,44,0.4638,88,44,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.0107,0.0163,6,12,6,843,0.052570000000000006,1,9,6,0.9929,10,1,0,9,0,3,38,0.0454,1,0.0011949999999999999,861,0,0,262,0.313,110,139,0.1661,16,0.019119999999999998,51,948,1919,1004
BT/src/exact_rhs.c,68,0,0,0,154355912,400994,0.0,0.0,100,100,100,100,100,0,8,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,3,0.07895,0,0.0,0.04428,0,38,0.4638,76,38,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.01096,0.027139999999999997,6,12,6,831,0.046060000000000004,2,8,6,0.9928,9,1,0,8,0,3,34,0.041210000000000004,1,0.001212,824,0,0,262,0.3176,110,137,0.1661,16,0.01939,51,918,1852,974
BT/src/exact_rhs.c,71,0,0,0,81883963,20433416,0.0,0.0,102,10000,10000,102,102,0,2,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.02899,0,8,0.1812,16,8,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.07336000000000001,0.4208,6,12,6,119,0.0708,3,2,6,0.9496,3,1,0,2,0,0,10,0.0885,1,0.00885,29,0,1,37,0.3274,6,18,0.1593,6,0.0531,6,103,138,103
BT/src/exact_rhs.c,75,1,1,0,9554088,9554088,0.0,0.0,5,1020000,1020000,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.07143,0.4286,4,8,4,14,0.0,4,0,4,0.7143,1,1,0,0,0,0,2,0.2,0,0.0,0,0,0,3,0.3,1,1,0.1,1,0.1,1,7,8,7
BT/src/exact_rhs.c,81,1,1,0,9059831,9059831,0.0,0.0,4,1020000,1020000,4,4,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.06667000000000001,0.4333,4,8,4,15,0.0,4,0,4,0.7333,1,1,0,0,0,0,2,0.1818,0,0.0,0,0,0,3,0.2727,1,1,0.09091,1,0.09091,1,8,9,8
BT/src/exact_rhs.c,91,1,1,0,42931778,42931778,0.0,0.0,100,10000,10000,100,100,0,0,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.02519,0.483,6,12,6,424,0.0,3,0,6,0.9858,1,1,0,0,0,0,2,0.004785,0,0.0,0,0,0,147,0.3517,5,84,0.201,5,0.01196,5,455,460,455
BT/src/exact_rhs.c,128,1,1,0,407424,407424,0.0,0.0,5,10000,10000,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.052879999999999996,0.5048,4,8,4,98,0.0,3,0,4,0.9592,1,1,0,0,0,1,2,0.02128,0,0.0,0,0,3,30,0.3191,5,11,0.11699999999999999,2,0.02128,3,90,95,91
BT/src/exact_rhs.c,138,1,1,0,28330395,6757999,0.0,0.0,96,10000,10000,96,96,0,1,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.053439999999999994,0,4,0.5038,8,4,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.04487,0.08333,6,12,6,72,0.060610000000000004,3,1,6,0.9167,2,1,0,1,0,0,6,0.09091,0,0.0,63,0,0,18,0.2727,1,7,0.1061,1,0.01515,1,67,131,67
BT/src/exact_rhs.c,139,1,1,0,21572396,21572396,0.0,0.0,5,960000,960000,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.053439999999999994,0.5038,4,8,4,63,0.0,4,0,4,0.9365,1,1,0,0,0,0,2,0.0339,0,0.0,0,0,0,18,0.3051,1,7,0.1186,1,0.01695,1,56,57,56
BT/src/exact_rhs.c,146,1,1,0,401358,401358,0.0,0.0,5,10000,10000,5,5,0,0,0.25,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,1,0.25,0,0.0,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.04933,0.4888,4,8,4,102,0.0,3,0,4,0.9608,1,1,0,0,0,0,2,0.02041,0,0.0,0,0,0,30,0.3061,3,13,0.1327,2,0.02041,3,103,106,103
BT/src/exact_rhs.c,162,0,0,1,157003162,2085,0.0,0.0,100,1,1,100,100,0,9,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,4,0.09091,0,0.0,0.05367,0,44,0.4638,88,44,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.0107,0.0163,6,12,6,843,0.052570000000000006,1,9,6,0.9929,10,1,0,9,0,16,38,0.0454,1,0.0011949999999999999,861,0,0,262,0.313,110,139,0.1661,16,0.019119999999999998,51,948,1919,991
BT/src/exact_rhs.c,164,0,0,0,157001077,408738,0.0,0.0,100,100,100,100,100,0,8,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,3,0.07895,0,0.0,0.04423,0,38,0.4633,76,38,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.01095,0.027110000000000002,6,12,6,831,0.046060000000000004,2,8,6,0.9928,9,1,0,8,0,17,34,0.041210000000000004,1,0.001212,824,0,3,262,0.3176,112,137,0.1661,16,0.01939,51,918,1854,962
BT/src/exact_rhs.c,167,0,0,0,80412309,19253569,0.0,0.0,102,10000,10000,102,102,0,2,0.1667,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.02899,0,8,0.1812,16,8,0,1,0.1667,0,0.0,6,0,0,0,0.0,0,1,0.1667,0,0.0,0,0.0,0.07336000000000001,0.4208,6,12,6,119,0.0708,3,2,6,0.9496,3,1,0,2,0,0,10,0.0885,1,0.00885,29,0,1,37,0.3274,6,18,0.1593,6,0.0531,6,103,138,103
